,T,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,beta_10,beta_11,beta_12,beta_13,beta_14,beta_15,beta_16,beta_17,beta_18,beta_19,beta_20,beta_21,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,psi_0,psi_1,psi_2,psi_3,psi_4,psi_5,psi_6,psi_7,psi_8,psi_9,psi_10,psi_11,psi_12,psi_13,psi_14,psi_15,psi_16,psi_17,psi_18,psi_19,psi_20,psi_21
0,243.99273153918736,1993512846.2165198,1263392469.1383197,1828918202.9860692,1149063635.503925,1568754084.298091,1234308226.095942,1455858038.9395342,2488224844.06295,1736787834.742644,1588909461.6062465,1449016894.0957413,1534517541.5987315,1458241879.7342942,1376479935.4638655,1122707445.3058696,1392210320.4184973,2257787100.3479967,1104687988.3212533,1558348946.2543576,1098975768.6792455,1545127289.0739236,1281674220.7446187,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.9500819899783741,0.7355126969435722,0.8548438200121692,0.7709218660637297,0.9756087401652352,0.9765956885484537,0.8713873754172589,0.8724333817820371,0.7531324843506937,0.9695293172526468,0.8988179680340436,0.8887692646860644,0.9158704713066033,0.9211444027376341,0.7641966975206016,0.9870927801041098,0.866455126550587,0.8013786689168801,0.8607682070229108,0.8635328951983297,0.9044704042573032,0.9407552046232273,170,89,153,11,111,26,741,305,769,56,102,6,52,73,20,142,5,162,134,46,635,7
1,800.8565777421381,1379113266.2712197,1290307358.2633119,1720597114.7119365,1748158689.2409816,1719800366.2347114,1463499443.2150917,978622568.7698956,1110821841.3439567,1703977414.4137146,1710234900.6531842,1796669188.3030145,1330703404.443705,1682217351.697967,1344063418.1081536,1059843295.8844156,2067010144.0127375,1719812391.643711,1876937159.9980905,1665419530.4935193,1346366022.0047483,1251697194.4453862,1967259049.984639,False,True,True,False,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,False,True,True,0.8825228903180685,0.9127323417929729,0.9246841978959015,0.6073900502857345,0.9962815195133928,0.9113102974843065,0.8896155390825938,0.8110630020134257,0.8050256640704907,0.8023177394666877,0.9712425029278179,0.8836371793755173,0.9979349477267402,0.6117771893272312,0.8351218580575439,0.9828224687448218,0.9679535610151808,0.8117501513201256,0.8633294972042845,0.8404083568866073,0.9230306810390939,0.9324800750216526,336,363,11,594,285,468,176,14,28,682,142,22,366,545,7,944,378,48,477,664,496,988
2,618.5156946690421,1999359830.239114,1978309991.6481032,2012960612.4424253,975604228.03829,1990104414.749793,1910390765.368533,1433638652.381389,2385983718.732315,1281917755.3912735,1289985702.1891274,1509699977.3531957,1497377546.0924804,2249207772.635714,1482444357.062932,985798122.9610894,1919680332.2559083,1528004805.271442,1301537627.9405787,2001033696.5488918,1343566355.5072875,1181610636.0146406,2381086596.788644,False,True,False,True,False,False,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,False,0.9465598093063035,0.9296556137619678,0.9357204149529499,0.9276492095770249,0.9466197016345395,0.9551038454832746,0.9125697793765413,0.9570986549457103,0.8776997682188121,0.9854562459524211,0.9577468456717974,0.8868288858646551,0.9765998305387532,0.9842648065026025,0.9794554655932349,0.97244469390205,0.9901004807418858,0.888572891288486,0.8871560647982245,0.8956472737434993,0.9372013285349635,0.9213786205706447,165,203,340,33,33,864,196,12,304,542,649,104,1003,111,52,91,44,65,950,13,995,135
3,767.6059214777371,1441365964.5418072,1490986964.9842117,1714765738.4597971,1009732565.7130461,1637190769.3522003,1943216727.3619738,1026391523.9903127,2105682560.7805383,1769138742.423543,1915212111.8812892,1265964807.2318985,2022474563.3006506,2110798228.7028491,1441301361.332666,963716970.323511,2500119570.9347754,2407054169.4584513,2618389817.3274837,1639033838.622,1398695838.001282,1116024844.762891,1274908127.128064,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,True,True,True,True,True,0.9618172266176642,0.9376225500794254,0.9869384589517578,0.9451732337539298,0.5485494223285732,0.9796212396602768,0.9742016147319986,0.9587533315258813,0.9447388285921265,0.9937026911607749,0.9622027952894237,0.9554853256292586,0.9489948556610994,0.6463574210183622,0.634691028757169,0.9920599059495709,0.9979817531667861,0.9154843876828671,0.9561694654633385,0.8990801822684679,0.932985535538875,0.9915740186854275,8,119,19,41,40,796,915,116,113,355,665,118,1023,781,631,871,865,484,474,341,539,84
4,791.8310387406981,1952542767.0238008,1472103857.6290603,1376073241.6771786,1324477123.1482952,1940222096.3925116,2358598386.692556,1240094273.7513385,2468624759.6054606,1347158536.6687293,1446001482.1115348,1302435709.743677,1575669923.6174593,2102422116.5075164,1404849256.2657218,959071175.9805262,1855396898.9416606,1451776923.170028,1254166522.645557,1416069052.95154,1643256568.203776,1040997601.8224857,1921606032.8172536,False,True,True,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,True,False,0.9509217505278981,0.945635782639527,0.9976450861995912,0.9857609427343713,0.850252318993707,0.9337417671041106,0.6792639188011008,0.7781264725701669,0.7695394253079881,0.8100252686515942,0.9984834066130115,0.9504789057012226,0.8891825594791866,0.9885808120378909,0.9720536034662931,0.9809857723500632,0.8086640309095767,0.9854072672275345,0.7013600133865319,0.9817711481836107,0.9503302073476294,0.8673982847853208,919,952,10,187,749,91,942,443,713,739,122,305,593,190,16,273,672,615,902,77,47,564
5,936.800146870171,2164476797.7373157,1479937574.1475065,2093241946.9152515,1016954912.7412089,1526189105.567932,1792919719.507219,2008962076.1116972,1911657140.9348204,1473489871.347993,1284704489.446312,1602630169.329118,2138215923.5933847,1795985869.73897,1370027586.8157969,2360299936.009934,2024583951.7843392,1877271717.2401166,1632692434.1591644,1404111168.9972172,1130400074.7586432,1507894531.1791267,1338781155.4138136,False,True,False,True,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,True,False,0.6691336232348343,0.9983262040259683,0.7131301853077804,0.9954209892621951,0.9124653027161375,0.5861320357112246,0.44892241948609146,0.5606266891066666,0.5257965310455294,0.4652346191290476,0.7156820664070148,0.948052075343288,0.9915764843440418,0.979813983444105,0.6293082600574345,0.9997424102055908,0.7257482038116447,0.9160390687094644,0.7687819326896562,0.5039423671208395,0.9646064935894878,0.6419258797540385,730,128,966,68,351,433,465,243,41,1016,1001,28,794,10,600,224,623,84,59,694,35,928
6,964.1757436225311,1491035419.1190128,1311852066.2216327,2178851831.908016,1319817738.3106935,1932110610.352929,1695316245.9481752,1288230146.3100314,1356938002.9907165,1657306502.404585,1111034342.375693,1276663996.0241988,2287521430.2359877,1576886678.938229,1297898516.8350098,1367136557.2776835,1467459649.5489547,1652930642.1549187,2552819454.973395,1720207385.3398876,1157706146.9904828,1387565082.6107187,2374528419.7235947,False,False,False,False,True,False,False,True,False,True,True,True,False,False,True,False,False,False,False,True,True,False,0.7079680595602341,0.773191187345272,0.8989527555581518,0.9072566187930385,0.9955904055359558,0.6665673741163858,0.7708154590690913,0.9544296381893851,0.7275453972599809,0.9889420309213806,0.9970883708528983,0.9554627655463596,0.8893409095727972,0.7336394864109992,0.9944291122291132,0.7821799434926234,0.9539724803585843,0.6969057578048534,0.9027637222994525,0.9828581257725494,0.9636430284005847,0.6732959872729977,386,406,364,546,56,315,21,7,444,43,59,778,22,862,11,922,953,278,435,11,22,356
7,770.2959761107246,1341254856.8621016,1252639955.4307446,1745248757.418283,1246342204.9767191,1148108836.3634198,1799761548.6327782,1624092596.7187784,1438243964.3406243,1685454837.73718,1168329124.9104276,1451359442.332241,1864505422.182159,2186155093.766455,1491811365.4315145,1808688864.1293204,1202797936.7682395,1136987634.9694326,1101754290.1531868,1729700709.8443906,1554237595.1902242,1063968274.0816529,2000739817.6205103,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,0.9869188040655117,0.9211415559279282,0.9246688038319565,0.5899102318986551,0.6338761643736138,0.8936900791953979,0.6977671815672748,0.9627211891771341,0.9953918715689201,0.85243108943683,0.8525044971070915,0.6160360745703041,0.9838386401220809,0.9834501022740196,0.9908847092939347,0.854214230923153,0.9962446768941865,0.9455523670828683,0.7769800394758437,0.7782893170057539,0.9647842665874865,0.9142921532191229,45,48,248,178,259,909,463,15,971,840,852,73,879,28,126,591,9,588,218,335,50,131
8,707.4423072705067,1531089990.5437922,1524132936.945882,2087059311.2753506,1598076457.6778462,2069158559.2242935,1570186114.8280709,1494121518.1936011,2428975049.5027456,1470482770.09137,1975626861.217173,1377155229.882736,1674487170.3456025,2128000384.2529497,1299876552.5775545,2315176067.377274,2336915733.459428,1523575288.829636,1418749162.0810866,1285224982.2052884,1381722516.0939689,1538895782.2451828,2264450932.4838347,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,True,True,False,False,0.9991095180534654,0.7044598211726703,0.8698618622929795,0.9170872301743249,0.7392107268323205,0.9946122914706472,0.9943896806370647,0.8715254122583094,0.7661288482217163,0.9973176006955878,0.888751379597599,0.6727445935641818,0.8264131712367867,0.9313002766627196,0.7920852434488376,0.8310666732777784,0.9988083697933962,0.9551616849557498,0.9709884461988869,0.9783546227087087,0.9859341440128524,0.7469337928037524,112,176,232,600,635,61,853,386,653,153,44,170,88,584,515,433,63,772,58,23,344,845
9,628.1438077449104,1633328671.904841,2059214149.0542686,2106179650.4756708,1670432550.2439559,2109715319.8085272,2291529692.302033,943546405.0662729,998603241.7633716,1592128344.4097767,2031474258.768412,1619143744.1937528,2418057782.515981,1736154630.6545327,1366481421.120658,1251969083.4520946,2663808723.676488,2460886628.725481,1183172911.9875975,1574092220.8092155,1183425781.923683,1125051716.9166365,1310371032.8646474,True,False,False,False,False,False,True,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,0.9962997560966504,0.9637738202176349,0.991099533442511,0.8924150660876504,0.8755079831532403,0.8509103632837631,0.9963100999735316,0.9885061833293297,0.7388324824215702,0.9515081441629206,0.9987342786017688,0.8719274042493543,0.9933153652972153,0.9971611271202288,0.8676523448232073,0.9960401786099321,0.8969087495932268,0.9907271675323875,0.7054153392213345,0.9775217982510376,0.9005211806892689,0.8023857847939992,28,104,670,51,110,570,399,11,373,947,36,480,20,108,243,701,71,481,649,17,507,406
